Genre,genre_
Action,genre_Action
Adventure,genre_Adventure
Boys Love,genre_Boys Love
Comedy,genre_Comedy
Demons,genre_Demons
Drama,genre_Drama
Ecchi,genre_Ecchi
Erotica,genre_Erotica
Fantasy,genre_Fantasy
Game,genre_Game
Girls Love,genre_Girls Love
Gourmet,genre_Gourmet
Harem,genre_Harem
Hentai,genre_Hentai
Historical,genre_Historical
Horror,genre_Horror
Josei,genre_Josei
Kids,genre_Kids
Martial Arts,genre_Martial Arts
Mecha,genre_Mecha
Military,genre_Military
Music,genre_Music
Mystery,genre_Mystery
Parody,genre_Parody
Police,genre_Police
Psychological,genre_Psychological
Romance,genre_Romance
Samurai,genre_Samurai
School,genre_School
Sci-Fi,genre_Sci-Fi
Seinen,genre_Seinen
Shoujo,genre_Shoujo
Shounen,genre_Shounen
Slice of Life,genre_Slice of Life
Space,genre_Space
Sports,genre_Sports
Super Power,genre_Super Power
Supernatural,genre_Supernatural
Suspense,genre_Suspense
Vampire,genre_Vampire
Work Life,genre_Work Life
